ip,timestamp,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Flow Byts/s,Flow Pkts/s,Pkt Len Mean,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,Label
192.168.179.134,1743667685.762772,53,17,1e-06,1,0,76,0,76000000.0,1000000.0,76.0,0,0,0,0,0,0,1
192.168.179.1,1743667685.763426,5353,17,1.0022249221801758,2,0,140,0,139.6892023952597,1.995560034217996,140.0,0,0,0,0,0,0,1
192.168.179.1,1743667685.764229,5355,17,0.4139289855957031,2,0,128,0,309.2317872250228,4.831746675390981,128.0,0,0,0,0,0,0,1
192.168.179.134,1743667689.442743,53,17,4.035544872283936,4,0,304,0,75.3305958974382,0.9911920512820817,304.0,0,0,0,0,0,0,1
192.168.179.133,1743667693.200498,135,6,0.0011229515075683,2,0,120,0,106861.24840764332,1781.0208067940553,120.0,0,1,1,0,0,0,1
192.168.179.133,1743667693.200498,135,6,0.0011229515075683,2,0,120,0,106861.24840764332,1781.0208067940553,120.0,0,1,1,0,0,0,1
192.168.179.133,1743667693.200498,135,6,0.0011229515075683,2,0,120,0,106861.24840764332,1781.0208067940553,120.0,0,1,1,0,0,0,1
192.168.179.133,1743667693.200498,135,6,0.0011229515075683,2,0,120,0,106861.24840764332,1781.0208067940553,120.0,0,1,1,0,0,0,1
192.168.179.134,1743667693.201113,1150,6,1e-06,1,0,58,0,58000000.0,1000000.0,58.0,0,1,0,0,1,0,1
192.168.179.134,1743667693.201194,1151,6,1e-06,1,0,58,0,58000000.0,1000000.0,58.0,0,1,0,0,1,0,1
192.168.179.134,1743667693.20127,1152,6,1e-06,1,0,58,0,58000000.0,1000000.0,58.0,0,1,0,0,1,0,1
192.168.179.134,1743667693.201362,1153,6,1e-06,1,0,58,0,58000000.0,1000000.0,58.0,0,1,0,0,1,0,1
192.168.179.133,1743667693.201621,135,6,0.0015139579772949,2,0,120,0,79262.43779527559,1321.0406299212598,120.0,0,1,1,0,0,0,1
192.168.179.133,1743667693.201621,135,6,0.0015139579772949,2,0,120,0,79262.43779527559,1321.0406299212598,120.0,0,1,1,0,0,0,1
192.168.179.133,1743667693.201621,135,6,0.0015139579772949,2,0,120,0,79262.43779527559,1321.0406299212598,120.0,0,1,1,0,0,0,1
192.168.179.133,1743667693.201621,135,6,0.0015139579772949,2,0,120,0,79262.43779527559,1321.0406299212598,120.0,0,1,1,0,0,0,1
192.168.179.133,1743667693.201621,135,6,0.0015139579772949,2,0,120,0,79262.43779527559,1321.0406299212598,120.0,0,1,1,0,0,0,1
192.168.179.133,1743667693.201621,135,6,0.0015139579772949,2,0,120,0,79262.43779527559,1321.0406299212598,120.0,0,1,1,0,0,0,1
192.168.179.133,1743667693.201621,135,6,0.0015139579772949,2,0,120,0,79262.43779527559,1321.0406299212598,120.0,0,1,1,0,0,0,1
